Dossier;Naam;Voornaam;Geboortedatum;Overlijdensdatum;Polis;Domein - Omschrijving;Polistype - Omschrijving;Product Template Name;Product Template ID;E-mail;Maatschappij;Natuurlijk/Rechtsp - Omschrijving
3/00;Smeets;Luc;22/04/1968;;1065811;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) BALOISE INSURANCE;luc.smeets@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
4/00;Vander Auwera;Maria Simonne;15/07/1936;;1067173;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;mariasimonne.vanderauwera@qollabi.com;DAS;Natuurlijk persoon
4/00;Vander Auwera;Maria Simonne;15/07/1936;;1744888;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;mariasimonne.vanderauwera@qollabi.com;AG INSURANCE;Natuurlijk persoon
4/00;Vander Auwera;Maria Simonne;15/07/1936;;F1002404;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AG INSURANCE;BA particulieren BA Privéleven AG INSURANCE;mariasimonne.vanderauwera@qollabi.com;AG INSURANCE;Natuurlijk persoon
4/00;Vander Auwera;Maria Simonne;15/07/1936;;SCA007125268;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik ALLIANZ;Auto Toerisme en Zaken, gemengd gebruik ALLIANZ;mariasimonne.vanderauwera@qollabi.com;ALLIANZ;Natuurlijk persoon
8/00;Jacobs;Luc;09/09/1963;;808060;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;luc.jacobs@qollabi.com;DAS;Natuurlijk persoon
8/00;Jacobs;Luc;09/09/1963;;602484245;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;luc.jacobs@qollabi.com;AXA;Natuurlijk persoon
8/00;Jacobs;Luc;09/09/1963;;7J71247;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;luc.jacobs@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
8/00;Jacobs;Luc;09/09/1963;;802129932;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;luc.jacobs@qollabi.com;AXA;Natuurlijk persoon
9/00;Vander Auwera;Jozefina;24/08/1947;;982818;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;jozefina.vanderauwera@qollabi.com;DAS;Natuurlijk persoon
9/00;Vander Auwera;Jozefina;24/08/1947;;220809031;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;jozefina.vanderauwera@qollabi.com;DKV Belgium;Natuurlijk persoon
9/00;Vander Auwera;Jozefina;24/08/1947;;502082083;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AXA;BA particulieren BA Privéleven AXA;jozefina.vanderauwera@qollabi.com;AXA;Natuurlijk persoon
9/00;Vander Auwera;Jozefina;24/08/1947;;624309649;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;jozefina.vanderauwera@qollabi.com;AXA;Natuurlijk persoon
9/00;Vander Auwera;Jozefina;24/08/1947;;802180554;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;jozefina.vanderauwera@qollabi.com;AXA;Natuurlijk persoon
10/00;Aerts;Axel;29/05/1973;;004585279D;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;;NN INSURANCE BELGIUM;Natuurlijk persoon
