Dossier;Voornaam;Naam;Geboortedatum;Leeftijd;CustomerType;E-mail
369/00;Jan;Baert;09/01/1942;84;naturalPerson;jan.baert@qollabi.com
314/00;Dirk;Bogaert;20/08/1960;65;naturalPerson;dirk.bogaert@qollabi.com
495/00;Jozef;Brouwers;10/05/1941;84;naturalPerson;jozef.brouwers@qollabi.com
317/01;MARINA;Brouwers;23/05/1965;60;naturalPerson;daniel.goossens@qollabi.com
339/01;Hubertina;Claes;27/04/1930;95;naturalPerson;
478/00;Thomas;Claes;15/06/1966;59;naturalPerson;thomas.claes@qollabi.com
229/00;Wilfried;Claes;12/07/1958;67;naturalPerson;wilfried.claes@qollabi.com
39/01;Olivia;Claeys;02/07/1956;69;naturalPerson;patrick.devos@qollabi.com
547/00;Bart;Coppens;20/04/1971;55;naturalPerson;bart.coppens@qollabi.com
247/00;Emile;De Backer;23/07/1936;89;naturalPerson;
420/00;Peter;De Backer;16/04/1964;62;naturalPerson;peter.debacker@qollabi.com
435/01;Cordula;De Clercq;04/03/1971;55;naturalPerson;cordula.declercq@qollabi.com
269/01;Hilda;De Clercq;17/11/1951;74;naturalPerson;hilda.declercq@qollabi.com
89/00;Remi;De Clercq;29/05/1946;79;naturalPerson;remi.declercq@qollabi.com
467/01;Rose;De Clercq;06/04/1944;82;naturalPerson;rose.declercq@qollabi.com
59/00;Christiaan;De Cock;18/12/1953;72;naturalPerson;christiaan.decock@qollabi.com
456/00;Xander;De Cock;20/06/1955;70;naturalPerson;xander.decock@qollabi.com
488/00;Danny;De Graef;28/12/1963;62;naturalPerson;danny.degraef@qollabi.com
487/00;Guillaume;De Graef;11/09/1955;70;naturalPerson;guillaume.degraef@qollabi.com
353/00;Jean;De Ridder;22/11/1951;74;naturalPerson;jean.deridder@qollabi.com
252/01;Marina;De Ridder;01/03/1964;62;naturalPerson;benjamin.thijs@qollabi.com
528/01;Alfons;De Smedt;28/02/1946;80;naturalPerson;alfons.desmedt@qollabi.com
439/00;Jean Paul;De Vos;09/08/1953;72;naturalPerson;jeanpaul.devos@qollabi.com
309/00;Waldemar;De Vos;14/11/1960;65;naturalPerson;waldemar.devos@qollabi.com
25/00;Rudy;De Wolf;28/09/1959;66;naturalPerson;rudy.dewolf@qollabi.com
547/01;Erika;Desmet;28/05/1974;51;naturalPerson;bart.coppens@qollabi.com
81/01;Liesbet;Desmet;18/05/1964;61;naturalPerson;liesbet.desmet@qollabi.com
85/00;Luc;Desmet;06/09/1955;70;naturalPerson;luc.desmet@qollabi.com
137/00;Mark;Desmet;20/03/1969;57;naturalPerson;mark.desmet@qollabi.com
185/00;René;Desmet;13/03/1950;76;naturalPerson;ren.desmet@qollabi.com
261/00;Tom;Desmet;15/03/1972;54;naturalPerson;tom.desmet@qollabi.com
307/00;Boudewijn;Devos;27/09/1950;75;naturalPerson;boudewijn.devos@qollabi.com
277/01;Murat;Devos;01/01/1965;61;naturalPerson;murat.devos@qollabi.com
497/01;Sandra;Devos;26/08/1972;53;naturalPerson;peter.eeckhout@qollabi.com
326/02;David;Diels;02/04/1974;52;naturalPerson;david.degraef@qollabi.com
224/00;Jean;Diels;16/10/1946;79;naturalPerson;jean.diels@qollabi.com
163/00;Luk;Diels;08/04/1968;58;naturalPerson;luk.diels@qollabi.com
259/01;Nadia;Diels;10/01/1968;58;naturalPerson;dennis.leysen@qollabi.com
464/01;Suzanna;Diels;01/05/1966;59;naturalPerson;suzanna.diels@qollabi.com
316/01;Catharina;Dupont;12/06/1950;75;naturalPerson;catharina.dupont@qollabi.com
445/00;Denis;Dupont;06/01/1950;76;naturalPerson;denis.dupont@qollabi.com
461/00;Francis;Dupont;29/01/1952;74;naturalPerson;francis.dupont@qollabi.com
381/00;Gustaaf;Dupont;16/08/1941;84;naturalPerson;
526/00;Olivier;Dupont;20/09/1975;50;naturalPerson;olivier.dupont@qollabi.com
85/01;Brigitte;Eeckhout;14/04/1958;68;naturalPerson;luc.desmet@qollabi.com
325/00;Jan;Eeckhout;28/10/1964;61;naturalPerson;jan.eeckhout@qollabi.com
179/00;Luc;Eeckhout;14/05/1960;65;naturalPerson;luc.eeckhout@qollabi.com
497/00;Peter;Eeckhout;14/03/1970;56;naturalPerson;peter.eeckhout@qollabi.com
467/00;Alfons;Fierens;13/08/1937;88;naturalPerson;alfons.fierens@qollabi.com
420/01;Isabelle;Geerts;20/09/1969;56;naturalPerson;isabelle.geerts@qollabi.com
436/01;Veerle;Geerts;05/06/1963;62;naturalPerson;veerle.geerts@qollabi.com
317/00;Daniel;Goossens;03/09/1962;63;naturalPerson;daniel.goossens@qollabi.com
504/00;Frederik;Goossens;03/04/1956;70;naturalPerson;
307/01;Ida;Goossens;31/12/1953;72;naturalPerson;boudewijn.devos@qollabi.com
243/01;Francine;Hendrickx;04/10/1954;71;naturalPerson;francine.hendrickx@qollabi.com
137/01;Mila;Hendrickx;22/07/1970;55;naturalPerson;mark.desmet@qollabi.com
328/03;Rudolf;Hendrickx;09/01/1965;61;naturalPerson;rudolf.hendrickx@qollabi.com
120/00;Willy;Hendrickx;25/06/1942;83;naturalPerson;willy.hendrickx@qollabi.com
333/00;Harry;Hermans;10/08/1962;63;naturalPerson;harry.hermans@qollabi.com
472/01;Veerle;Hermans;30/04/1956;69;naturalPerson;veerle.hermans@qollabi.com
346/00;José;Huygen;22/02/1941;85;naturalPerson;
263/00;Luc;Huygen;21/02/1961;65;naturalPerson;luc.huygen@qollabi.com
319/00;Sonja;Huygen;07/01/1957;69;naturalPerson;
225/00;Erik;Jacobs;05/02/1958;68;naturalPerson;erik.jacobs@qollabi.com
8/00;Luc;Jacobs;09/09/1963;62;naturalPerson;luc.jacobs@qollabi.com
50/00;Paulus;Janssen;27/04/1935;90;naturalPerson;paulus.janssen@qollabi.com
64/00;Eddy;Kerkhofs;30/10/1955;70;naturalPerson;
270/01;Veerle;Kerkhofs;15/11/1959;66;naturalPerson;jan.vandenberghe@qollabi.com
405/01;Sigrid;Lambert;28/03/1942;84;naturalPerson;sigrid.lambert@qollabi.com
135/00;Christian;Leclercq;11/08/1953;72;naturalPerson;christian.leclercq@qollabi.com
409/00;Johnny;Leclercq;07/06/1957;68;naturalPerson;johnny.leclercq@qollabi.com
461/01;Ludgardus;Leclercq;20/03/1956;70;naturalPerson;ludgardus.leclercq@qollabi.com
440/01;Marina;Leclercq;11/01/1952;74;naturalPerson;marina.leclercq@qollabi.com
333/01;Harlinde;Leemans;21/03/1958;68;naturalPerson;harry.hermans@qollabi.com
240/00;Roger;Leemans;13/06/1952;73;naturalPerson;roger.leemans@qollabi.com
