externalId;firstName;lastName;dateOfBirth;age;email
369/00;Jan;Baert;09/01/1942;84;jan.baert@qollabi.com
314/00;Dirk;Bogaert;20/08/1960;65;dirk.bogaert@qollabi.com
495/00;Jozef;Brouwers;10/05/1941;84;jozef.brouwers@qollabi.com
317/01;MARINA;Brouwers;23/05/1965;60;daniel.goossens@qollabi.com
339/01;Hubertina;Claes;27/04/1930;95;
478/00;Thomas;Claes;15/06/1966;59;thomas.claes@qollabi.com
229/00;Wilfried;Claes;12/07/1958;67;wilfried.claes@qollabi.com
39/01;Olivia;Claeys;02/07/1956;69;patrick.devos@qollabi.com
547/00;Bart;Coppens;20/04/1971;55;bart.coppens@qollabi.com
247/00;Emile;De Backer;23/07/1936;89;
420/00;Peter;De Backer;16/04/1964;62;peter.debacker@qollabi.com
435/01;Cordula;De Clercq;04/03/1971;55;cordula.declercq@qollabi.com
269/01;Hilda;De Clercq;17/11/1951;74;hilda.declercq@qollabi.com
89/00;Remi;De Clercq;29/05/1946;79;remi.declercq@qollabi.com
467/01;Rose;De Clercq;06/04/1944;82;rose.declercq@qollabi.com
59/00;Christiaan;De Cock;18/12/1953;72;christiaan.decock@qollabi.com
456/00;Xander;De Cock;20/06/1955;70;xander.decock@qollabi.com
488/00;Danny;De Graef;28/12/1963;62;danny.degraef@qollabi.com
487/00;Guillaume;De Graef;11/09/1955;70;guillaume.degraef@qollabi.com
353/00;Jean;De Ridder;22/11/1951;74;jean.deridder@qollabi.com
252/01;Marina;De Ridder;01/03/1964;62;benjamin.thijs@qollabi.com
528/01;Alfons;De Smedt;28/02/1946;80;alfons.desmedt@qollabi.com
439/00;Jean Paul;De Vos;09/08/1953;72;jeanpaul.devos@qollabi.com
309/00;Waldemar;De Vos;14/11/1960;65;waldemar.devos@qollabi.com
25/00;Rudy;De Wolf;28/09/1959;66;rudy.dewolf@qollabi.com
547/01;Erika;Desmet;28/05/1974;51;bart.coppens@qollabi.com
81/01;Liesbet;Desmet;18/05/1964;61;liesbet.desmet@qollabi.com
85/00;Luc;Desmet;06/09/1955;70;luc.desmet@qollabi.com
137/00;Mark;Desmet;20/03/1969;57;mark.desmet@qollabi.com
185/00;René;Desmet;13/03/1950;76;ren.desmet@qollabi.com
261/00;Tom;Desmet;15/03/1972;54;tom.desmet@qollabi.com
307/00;Boudewijn;Devos;27/09/1950;75;boudewijn.devos@qollabi.com
277/01;Murat;Devos;01/01/1965;61;murat.devos@qollabi.com
497/01;Sandra;Devos;26/08/1972;53;peter.eeckhout@qollabi.com
326/02;David;Diels;02/04/1974;52;david.degraef@qollabi.com
224/00;Jean;Diels;16/10/1946;79;jean.diels@qollabi.com
163/00;Luk;Diels;08/04/1968;58;luk.diels@qollabi.com
259/01;Nadia;Diels;10/01/1968;58;dennis.leysen@qollabi.com
464/01;Suzanna;Diels;01/05/1966;59;suzanna.diels@qollabi.com
316/01;Catharina;Dupont;12/06/1950;75;catharina.dupont@qollabi.com
445/00;Denis;Dupont;06/01/1950;76;denis.dupont@qollabi.com
461/00;Francis;Dupont;29/01/1952;74;francis.dupont@qollabi.com
381/00;Gustaaf;Dupont;16/08/1941;84;
526/00;Olivier;Dupont;20/09/1975;50;olivier.dupont@qollabi.com
85/01;Brigitte;Eeckhout;14/04/1958;68;luc.desmet@qollabi.com
325/00;Jan;Eeckhout;28/10/1964;61;jan.eeckhout@qollabi.com
179/00;Luc;Eeckhout;14/05/1960;65;luc.eeckhout@qollabi.com
497/00;Peter;Eeckhout;14/03/1970;56;peter.eeckhout@qollabi.com
467/00;Alfons;Fierens;13/08/1937;88;alfons.fierens@qollabi.com
420/01;Isabelle;Geerts;20/09/1969;56;isabelle.geerts@qollabi.com
436/01;Veerle;Geerts;05/06/1963;62;veerle.geerts@qollabi.com
317/00;Daniel;Goossens;03/09/1962;63;daniel.goossens@qollabi.com
504/00;Frederik;Goossens;03/04/1956;70;
307/01;Ida;Goossens;31/12/1953;72;boudewijn.devos@qollabi.com
243/01;Francine;Hendrickx;04/10/1954;71;francine.hendrickx@qollabi.com
137/01;Mila;Hendrickx;22/07/1970;55;mark.desmet@qollabi.com
328/03;Rudolf;Hendrickx;09/01/1965;61;rudolf.hendrickx@qollabi.com
120/00;Willy;Hendrickx;25/06/1942;83;willy.hendrickx@qollabi.com
333/00;Harry;Hermans;10/08/1962;63;harry.hermans@qollabi.com
472/01;Veerle;Hermans;30/04/1956;69;veerle.hermans@qollabi.com
